source,date,rating,visit_date,source_url,platform_rating,platform_reviews_count,captured_at,evidence_type,text,mentions_queue,mentions_price,mentions_crowd,mentions_fastpass,mentions_app,mentions_children,sentiment,attractions_mentioned
2gis,,,,https://2gis.ru/moscow/geo/70000001041928194/tab/reviews,4.6,4188+,2026-05-08,public_review_excerpt,"Пришли всей семьей, стояли в очереди около часа минимум, цены названы космосом.",True,True,False,False,False,False,negative,
2gis,,,,https://2gis.ru/moscow/geo/70000001041928194/tab/reviews,4.6,4188+,2026-05-08,public_review_excerpt,"Из минусов большие очереди в выходные, лучше ходить в будние дни.",True,False,False,False,False,False,neutral,
2gis,,,,https://2gis.ru/moscow/geo/70000001041928194/tab/reviews,4.6,4188+,2026-05-08,public_review_excerpt,"Очереди жуткие, стояли в очередях весь день, аттракционы обычные.",True,False,False,False,False,False,negative,
2gis,,,,https://2gis.ru/moscow/geo/70000001041928194/tab/reviews,4.6,4188+,2026-05-08,public_review_excerpt,"Очень понравилось, разные тематические зоны, но очень много народа.",True,False,True,False,False,False,positive,
2gis,,,,https://2gis.ru/moscow/firm/70000001041928194/tab/reviews,4.6,4362+,2026-05-08,public_review_excerpt,"Отличный парк развлечений в центре Москвы, близко метро, огромная парковка.",False,False,False,False,False,False,neutral,
tbank_reviews,2026-04-14,,,https://www.tbank.ru/reviews/company/ostrov-mechty/105125/,4.7,1744,2026-05-08,public_review_excerpt,"Выходной с семьей прошел отлично, советует посетить это место.",False,False,False,False,False,False,positive,
tbank_reviews,2026-04-13,,,https://www.tbank.ru/reviews/company/ostrov-mechty/105125/,4.7,1744,2026-05-08,public_review_excerpt,"Входной билет кажется неоправданно дорогим, ребенок проходит не на все аттракционы, за многое нужно доплачивать.",False,True,False,False,False,True,negative,
tripadvisor,2026-03-30,4,2026-03,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Гигантских очередей не было: 15-20 минут, на Молот судьбы около 35 минут.",False,False,False,False,False,False,positive,Молот судьбы
tripadvisor,2025-07-31,4,2025-05,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Минусы: огромные очереди, под вечер могут быть по несколько часов на один аттракцион.",True,False,False,False,False,False,negative,
tripadvisor,2025-07-31,3,2025-07,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,На некоторые аттракционы стояли от 40 минут до часа.,True,False,False,False,False,False,neutral,
tripadvisor,2025-06-08,2,2025-06,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Главный недостаток - хамство посетителей и несоблюдение очередности, особенно на Мельнице и Молоте судьбы.",False,False,False,False,False,False,negative,
tripadvisor,2025-08-21,3,2025-08,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Очереди невозможно длинные и долгие, есть посетители, которые пролезают вперед.",True,False,False,False,False,False,negative,
tripadvisor,2025-06-05,4,2025-06,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Много народа, очереди, ресторанчики и кафешки не успевают обслуживать.",True,False,True,False,False,False,positive,
tripadvisor,2026-03-15,4,2026-02,https://www.tripadvisor.ru/Attraction_Review-g298484-d20249825-Reviews-Ostrov_Mechty-Moscow_Central_Russia.html,3.0,580,2026-05-08,public_review_excerpt,"Много аттракционов и мест перекусить, но дорого и кроме еды и аттракционов мало занятий.",False,True,False,False,False,False,negative,
